rule_id,rule_string,lambda,D,gamma,population,classification,period
14249,"B0134/S03578",0.045009,1.8865,3483.6601,8238,aperiodic,
14250,"B0134/S13578",0.045083,1.8910,3819.6406,8492,aperiodic,
14251,"B0134/S013578",0.045055,1.8914,3700.8105,8463,aperiodic,
14252,"B0134/S23578",0.045049,1.8948,3872.1308,8621,aperiodic,
14253,"B0134/S023578",0.044996,1.8959,4018.6569,8733,aperiodic,
14254,"B0134/S123578",0.045052,1.9014,4068.1504,9023,aperiodic,
14255,"B0134/S0123578",0.045072,1.9052,4310.3203,9219,aperiodic,
14256,"B0134/S4578",0.045041,1.8905,3698.9804,8372,aperiodic,
14257,"B0134/S04578",0.045071,1.8946,3806.6406,8557,aperiodic,
14258,"B0134/S14578",0.045039,1.8966,4008.3007,8664,aperiodic,
14259,"B0134/S014578",0.044975,1.8982,4060.1667,8746,aperiodic,
14260,"B0134/S24578",0.044999,1.9012,4345.6569,8903,aperiodic,
14261,"B0134/S024578",0.044981,1.9040,4190.8268,9022,aperiodic,
14262,"B0134/S124578",0.044971,1.9059,4327.3203,9132,aperiodic,
14263,"B0134/S0124578",0.044906,1.9048,4509.9804,9070,aperiodic,
14264,"B0134/S34578",0.044691,1.9222,3298.8724,9929,aperiodic,
14265,"B0134/S034578",0.044786,1.9212,2961.6475,9872,aperiodic,
14266,"B0134/S134578",0.044614,1.9216,2770.5067,9903,aperiodic,
14267,"B0134/S0134578",0.044726,1.9217,2831.1797,9891,aperiodic,
14268,"B0134/S234578",0.021587,1.9138,2905.3595,9378,periodic,30
14269,"B0134/S0234578",0.021587,1.9139,3530.7866,9385,periodic,30
14270,"B0134/S1234578",0.022925,1.9128,9599.8089,9322,periodic,6
14271,"B0134/S01234578",0.020636,1.9133,5548.5221,9350,periodic,6
14272,"B0134/S678",0.044901,1.8433,1911.6764,6664,aperiodic,
14273,"B0134/S0678",0.044804,1.8476,2268.3366,6821,aperiodic,
14274,"B0134/S1678",0.045015,1.8522,2274.1667,7011,aperiodic,
14275,"B0134/S01678",0.044973,1.8519,2223.9804,7015,aperiodic,
14276,"B0134/S2678",0.045031,1.8628,2629.1504,7449,aperiodic,
14277,"B0134/S02678",0.045100,1.8673,2924.7910,7598,aperiodic,
14278,"B0134/S12678",0.045020,1.8650,2764.9804,7593,aperiodic,
14279,"B0134/S012678",0.045015,1.8671,2825.3366,7646,aperiodic,
14280,"B0134/S3678",0.045052,1.8686,2924.1667,7602,aperiodic,
14281,"B0134/S03678",0.045011,1.8716,2969.6406,7716,aperiodic,
14282,"B0134/S13678",0.045084,1.8778,3318.6927,7999,aperiodic,
14283,"B0134/S013678",0.044996,1.8737,3106.9804,7856,aperiodic,
14284,"B0134/S23678",0.045042,1.8849,3500.9804,8343,aperiodic,
14285,"B0134/S023678",0.045027,1.8871,3754.4707,8477,aperiodic,
14286,"B0134/S123678",0.045060,1.8909,3731.8301,8650,aperiodic,
14287,"B0134/S0123678",0.045106,1.8902,3703.0326,8589,aperiodic,
14288,"B0134/S4678",0.045025,1.8751,3084.6764,7710,aperiodic,
14289,"B0134/S04678",0.045015,1.8785,3331.0259,7864,aperiodic,
14290,"B0134/S14678",0.045037,1.8854,3398.4707,8224,aperiodic,
14291,"B0134/S014678",0.045055,1.8862,3445.9804,8234,aperiodic,
14292,"B0134/S24678",0.045101,1.8932,3905.4902,8571,aperiodic,
14293,"B0134/S024678",0.045070,1.8953,3896.3366,8660,aperiodic,
14294,"B0134/S124678",0.044955,1.8994,4223.8105,8916,aperiodic,
14295,"B0134/S0124678",0.044987,1.9023,4266.1504,9039,aperiodic,
14296,"B0134/S34678",0.044969,1.9081,4529.6406,9268,aperiodic,
14297,"B0134/S034678",0.044995,1.9063,4549.1504,9189,aperiodic,
14298,"B0134/S134678",0.044986,1.9090,4638.6406,9388,aperiodic,
14299,"B0134/S0134678",0.044972,1.9072,4531.9804,9251,aperiodic,
14300,"B0134/S234678",0.044909,1.9159,4554.1504,9705,aperiodic,
14301,"B0134/S0234678",0.044910,1.9137,4787.5065,9633,aperiodic,
14302,"B0134/S1234678",0.044464,1.8988,-5666.5124,8520,aperiodic,
14303,"B0134/S01234678",0.044011,1.8990,-5708.2787,8530,aperiodic,
14304,"B0134/S5678",0.044623,1.9759,-2442.9831,14150,aperiodic,
14305,"B0134/S05678",0.044432,1.9814,-2815.7362,14561,aperiodic,
14306,"B0134/S15678",0.043352,1.9823,-2796.3820,14623,aperiodic,
14307,"B0134/S015678",0.042905,1.9823,-2533.6584,14615,aperiodic,
14308,"B0134/S25678",0.042507,1.9797,-1831.4878,14375,aperiodic,
14309,"B0134/S025678",0.041777,1.9804,-1987.8040,14437,periodic,24
14310,"B0134/S125678",0.040671,1.9785,-1479.3278,14258,periodic,120
14311,"B0134/S0125678",0.040942,1.9784,-1164.8098,14252,periodic,120
14312,"B0134/S35678",0.035562,1.9730,466.4935,13760,aperiodic,
14313,"B0134/S035678",0.035702,1.9722,1685.5354,13700,periodic,36
14314,"B0134/S135678",0.031867,1.9708,2898.6444,13570,periodic,36
14315,"B0134/S0135678",0.034937,1.9720,3169.6410,13668,periodic,18
14316,"B0134/S235678",0.035442,1.9686,5375.8500,13378,periodic,6
14317,"B0134/S0235678",0.032393,1.9689,4357.7465,13406,periodic,12
14318,"B0134/S1235678",0.027058,1.9683,7093.0165,13344,periodic,6
14319,"B0134/S01235678",0.030260,1.9684,4969.2373,13351,periodic,60
14320,"B0134/S45678",0.016661,1.9575,104687.9751,12450,periodic,4
14321,"B0134/S045678",0.013863,1.9574,116424.6807,12437,periodic,4
14322,"B0134/S145678",0.014722,1.9565,126138.3145,12369,periodic,4
14323,"B0134/S0145678",0.013195,1.9560,121761.2155,12331,periodic,4
14324,"B0134/S245678",0.010397,1.9575,99170.9370,12443,periodic,12
14325,"B0134/S0245678",0.013540,1.9574,95947.6515,12438,periodic,12
14326,"B0134/S1245678",0.014166,1.9572,110860.1832,12426,periodic,12
14327,"B0134/S01245678",0.011989,1.9581,101766.1452,12494,periodic,12
14328,"B0134/S345678",0.010986,1.9557,0.0000,12304,periodic,2
14329,"B0134/S0345678",0.008047,1.9551,0.0000,12259,periodic,2
14330,"B0134/S1345678",0.008047,1.9559,0.0000,12323,periodic,2
14331,"B0134/S01345678",0.006931,1.9564,0.0000,12360,periodic,2
14332,"B0134/S2345678",0.005493,1.9606,0.0000,12697,fixed,1
14333,"B0134/S02345678",0.005493,1.9603,0.0000,12671,fixed,1
14334,"B0134/S12345678",0.005493,1.9624,0.0000,12843,fixed,1
14335,"B0134/S012345678",0.008047,1.9631,0.0000,12907,fixed,1
14336,"B234/S",0.044691,1.8185,1176.7683,6107,aperiodic,
14337,"B234/S0",0.044692,1.8088,919.6439,5895,aperiodic,
14338,"B234/S1",0.044781,1.8167,1027.9546,6115,aperiodic,
14339,"B234/S01",0.044730,1.8218,1266.9804,6266,aperiodic,
14340,"B234/S2",0.044825,1.8231,1145.4317,6552,aperiodic,
14341,"B234/S02",-10.000000,1.8246,1040.6577,6633,aperiodic,
14342,"B234/S12",0.044818,1.8274,1283.1373,6721,aperiodic,
14343,"B234/S012",0.044850,1.8186,888.3700,6485,aperiodic,
14344,"B234/S3",0.044927,1.8366,2082.7846,6851,aperiodic,
